##
#  cooling data, log Lamnda, ergs/cm^3/s, = L/n^2,  where n is the total number of particles.  
#
# Format 3
#
# Cooling file formats:
# Format = 0 -> 2 columns: basic total cooling
# 		log(t)  log(total)
# Format = 1 -> 5 columns: cooling components
# 		log(t)  log(total)  log(atomic) log(H2) log(CO)
# Format = 2 -> 7 columns:  cooling components + mu and gamma
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma
# Format = 3 -> 10 columns: 2 plus H ionisation fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII
# Format = 4 -> 4 columns: total and derivatives  must be computed from components and local composition
#           for use when ion fractions are computed (NEQIONISATION),
#           mu and gamma computed too, and each component needs to be multiplied by the 
#           appropriate species fractions to get the correct cooling.  
#  		ie atomic x (fHI+fHII)^2
#  		ie molecular components x (fH2 * abundance wrt H2 )^2 
#           total = atomic*(fH1+fHII)^2 + H2*fH2^2 + CO*fH2^2
# 		log(t)  log(atomic) log(H2) log(CO)
# Format = 5 -> 13 columns: 3 plus xray cooling fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII fxr fsxr fhxr
#
#######
#   Abundances relative to solar ref.
#
#   for He use:			 He/H = 0.0737+0.024*Z/Z_sol
#
#   For Secondary elements  use                  
#	log{N/H}=log[1.1e-5*Z/Z_sol +4.9e-5*(Z/Z_sol)^2]  (Groves et al. ApJ, 2004)
#	log{C/H}=log[6.0e-5*Z/Z_sol +2.0e-4*(z/Z_sol)^2]  (Garnett et al. 1999, ApJ, 513, 168)
#
#   Solar Ref: Asplund, Grevesse & Sauval 2005, ASP Conf. Ser. 336 eds T.G. Barnes & F.N. Bash
#
#######
Solar x 1.0 NEQ Atomic Cooling and EOS, Format 3
3         
663         
3.165888E+00 -2.562381E+01 -2.562381E+01 -6.000000E+01 -6.000000E+01 1.236280E+00 1.666667E+00 0.000000E+00 9.579340E-01 4.206617E-02
3.177845E+00 -2.560527E+01 -2.560527E+01 -6.000000E+01 -6.000000E+01 1.234150E+00 1.666667E+00 0.000000E+00 9.561750E-01 4.382512E-02
3.189743E+00 -2.558671E+01 -2.558671E+01 -6.000000E+01 -6.000000E+01 1.231920E+00 1.666667E+00 0.000000E+00 9.543310E-01 4.566872E-02
3.201586E+00 -2.556819E+01 -2.556819E+01 -6.000000E+01 -6.000000E+01 1.229600E+00 1.666667E+00 0.000000E+00 9.524100E-01 4.759023E-02
3.213361E+00 -2.554963E+01 -2.554963E+01 -6.000000E+01 -6.000000E+01 1.227180E+00 1.666667E+00 0.000000E+00 9.503960E-01 4.960440E-02
3.225077E+00 -2.553108E+01 -2.553108E+01 -6.000000E+01 -6.000000E+01 1.224670E+00 1.666667E+00 0.000000E+00 9.482960E-01 5.170439E-02
3.236721E+00 -2.551247E+01 -2.551247E+01 -6.000000E+01 -6.000000E+01 1.222050E+00 1.666667E+00 0.000000E+00 9.460940E-01 5.390555E-02
3.248299E+00 -2.549383E+01 -2.549383E+01 -6.000000E+01 -6.000000E+01 1.219330E+00 1.666667E+00 0.000000E+00 9.437990E-01 5.620099E-02
3.259802E+00 -2.547512E+01 -2.547512E+01 -6.000000E+01 -6.000000E+01 1.216500E+00 1.666667E+00 0.000000E+00 9.413930E-01 5.860652E-02
3.271230E+00 -2.545635E+01 -2.545635E+01 -6.000000E+01 -6.000000E+01 1.213550E+00 1.666667E+00 0.000000E+00 9.388850E-01 6.111527E-02
3.282575E+00 -2.543748E+01 -2.543748E+01 -6.000000E+01 -6.000000E+01 1.210490E+00 1.666667E+00 0.000000E+00 9.362570E-01 6.374319E-02
3.293842E+00 -2.541855E+01 -2.541855E+01 -6.000000E+01 -6.000000E+01 1.207310E+00 1.666667E+00 0.000000E+00 9.335180E-01 6.648186E-02
3.305016E+00 -2.539953E+01 -2.539953E+01 -6.000000E+01 -6.000000E+01 1.204000E+00 1.666667E+00 0.000000E+00 9.306580E-01 6.934186E-02
3.316014E+00 -2.537980E+01 -2.537980E+01 -6.000000E+01 -6.000000E+01 1.200370E+00 1.666667E+00 0.000000E+00 9.274680E-01 7.253171E-02
